Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
269539,358.9581865,9.27,283,45,328.0,8.4,7,7,1,0.5,80.42426757,2022.0,5449.0,West,2806.0,2104.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Propane,Yes
272334,472.5547006,42.57,509,59,567.7,5.4,35,31,4,0.8,409.5590943,1925.0,1504.0,North West,5349.0,4011.75,Crawlspace (unconditioned),0.0,0.0,82.82,100.0,Furnace with standalone ducts,Natural Gas,No
261349,1760.686354,6.01,0,221,221.49,7.6,7,7,7,1.5,0.0,1962.0,2496.0,South East,3184.0,2388.0,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,80.16,83.83,Central Heat Pump (shared ducts),Electricity,
276331,8869.981182,30.27,0,1116,1115.84,5.9,33,33,8,1.9,0.0,1937.0,1887.0,West,4616.0,3462.0,Attic (unconditioned),0.0,0.0,85.35,90.05,Central Heat Pump (shared ducts),Electricity,
266777,1116.869843,3.81,0,140,140.5,3.9,8,8,5,0.9,0.0,1990.0,2170.0,South West,1844.0,1383.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
272118,1385.73439,39.34,430,174,603.8,7.4,27,26,7,1.3,346.0754787,1946.0,2015.0,West,3350.0,2512.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Natural Gas,No
266502,1990.097045,6.79,0,251,250.35,8.7,7,7,-1,0.3,0.0,2002.0,2406.0,North,3432.0,2574.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
270464,609.9881948,2.08,0,77,76.74,6.2,5,5,-1,0.3,0.0,2007.0,1956.0,North East,1742.0,1306.5,Crawlspace (unconditioned),0.0,0.0,86.78,100.0,Central Heat Pump (shared ducts),Electricity,
252925,28.51102388,66.99,1424,4,1427.24,3.9,62,56,7,1.5,668.9359231,1964.0,1252.0,North East,3049.0,2286.75,Crawlspace (unconditioned),0.0,0.0,74.21,100.0,Furnace / Central AC (shared ducts),Fuel Oil,
256456,921.81395,5.54,30,116,145.73,3.3,12,11,1,0.5,23.98937877,1990.0,1577.0,South East,2031.0,1523.25,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,No
